Documents,BuildTime(s)
1000,4.678486585617065
2000,10.98629117012024
3000,22.1265287399292
4000,36.983139991760254
5000,51.48034405708313
6000,64.68297672271729
7000,86.61252474784851
7532,98.33008551597595
